"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
57,"1","2026-05-27T10:32:35.179423Z",48,"/data/upload/2/ce0d85af-images_2.jpg","[{""x"":3.102189781021898,""y"":3.194848908891494,""width"":69.09975669099757,""height"":93.93933663628454,""rotation"":0,""rectanglelabels"":[""ворон""],""original_width"":261,""original_height"":193}]",5.744,"2026-05-27T10:32:35.179423Z"
58,"1","2026-05-27T10:32:49.147392Z",49,"/data/upload/2/6ab9c91f-images_3.jpg","[{""x"":10.036496350364962,""y"":2.3114355231143553,""width"":81.99513381995133,""height"":87.8345498783455,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":318,""original_height"":159}]",12.748,"2026-05-27T10:32:49.147392Z"
59,"1","2026-05-27T10:33:03.644191Z",50,"/data/upload/2/267afaf9-images_4.jpg","[{""x"":6.508515815085157,""y"":16.179383883105313,""width"":40.997566909975674,""height"":81.53510696289206,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":275,""original_height"":183},{""x"":44.22141119221411,""y"":4.479278848071477,""width"":46.59367396593674,""height"":94.55147325646271,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":275,""original_height"":183}]",12.307,"2026-05-27T10:33:03.644191Z"
60,"1","2026-05-27T10:33:36.429038Z",51,"/data/upload/2/445e1aca-images_5.jpg","[{""x"":8.73015873015873,""y"":6.666666666666667,""width"":23.96825396825397,""height"":48.25396825396826,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":225,""original_height"":225},{""x"":52.06349206349207,""y"":6.507936507936509,""width"":43.492063492063494,""height"":38.095238095238095,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":225,""original_height"":225},{""x"":51.42857142857142,""y"":45.714285714285715,""width"":48.57142857142858,""height"":46.98412698412698,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":225,""original_height"":225},{""x"":7.301587301587302,""y"":44.285714285714285,""width"":40,""height"":48.0952380952381,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":225,""original_height"":225}]",31.357,"2026-05-27T10:33:36.429038Z"
61,"1","2026-05-27T10:34:49.901644Z",52,"/data/upload/2/9ac3954c-images_13.jpg","[{""x"":22.20194647201947,""y"":4.488182134167539,""width"":24.330900243308992,""height"":16.075773375043447,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168},{""x"":72.44525547445255,""y"":7.529544664581164,""width"":23.23600973236009,""height"":17.161974278762596,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168},{""x"":14.416058394160586,""y"":25.343239485575246,""width"":22.26277372262773,""height"":16.727493917274934,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168},{""x"":53.95377128953771,""y"":60.53614876607576,""width"":20.31630170316302,""height"":26.93778241223496,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168},{""x"":35.34063260340633,""y"":44.89485575251999,""width"":13.868613138686129,""height"":25.851581508515807,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168},{""x"":18.187347931873482,""y"":75.30848105665623,""width"":28.832116788321166,""height"":20.85505735140771,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168},{""x"":78.89294403892944,""y"":46.41553701772679,""width"":14.476885644768842,""height"":20.637817170663894,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168},{""x"":1.7639902676399093,""y"":42.28797358359402,""width"":22.992700729927005,""height"":26.5033020507473,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168},{""x"":64.78102189781022,""y"":18.60879388251651,""width"":7.907542579075432,""height"":34.54118873826903,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168},{""x"":68.18734793187348,""y"":15.132950990615226,""width"":10.340632603406334,""height"":37.36531108793882,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168},{""x"":78.77128953771287,""y"":31.643204727146333,""width"":18.734793187347933,""height"":14.164059121533313,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168},{""x"":34.61070559610705,""y"":23.170837678136948,""width"":30.170316301703167,""height"":37.148070907194985,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168},{""x"":25.97323600973236,""y"":33.81560653458464,""width"":11.922141119221408,""height"":30.630865484880076,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168},{""x"":60.1581508515815,""y"":48.37069864442126,""width"":13.74695863746959,""height"":13.468891206117462,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168},{""x"":18.673965936739663,""y"":60.31890858533193,""width"":21.654501216545004,""height"":14.989572471324292,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":300,""original_height"":168}]",71.817,"2026-05-27T10:34:49.901644Z"
62,"1","2026-05-27T10:34:56.140703Z",53,"/data/upload/2/a7eadfb2-images.jpg","[{""x"":11.131386861313871,""y"":7.771651912822901,""width"":83.09002433090025,""height"":83.76300667805562,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":268,""original_height"":188}]",5.118,"2026-05-27T10:34:56.140703Z"
63,"1","2026-05-27T10:35:07.250908Z",54,"/data/upload/2/856d202f-rozovoshejnyj-zelenyj-golub-1.jpg","[{""x"":8.57664233576643,""y"":32.55520359913694,""width"":62.77372262773721,""height"":54.90520130376898,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":400,""original_height"":265},{""x"":38.74695863746959,""y"":12.539595097094066,""width"":51.45985401459852,""height"":57.84327227654592,""rotation"":0,""rectanglelabels"":[""голубь""],""original_width"":400,""original_height"":265}]",7.947,"2026-05-27T10:35:07.250908Z"
64,"1","2026-05-27T10:35:13.061562Z",55,"/data/upload/2/6b164847-11c8391e_20ac12fe0a2091bb9a23dbef_thumb_729-486_ea44ecca0b594017-754e9.jpg","[{""x"":24.270072992700726,""y"":13.777372262773724,""width"":57.29927007299269,""height"":82.11678832116787,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":729,""original_height"":486}]",4.612,"2026-05-27T10:35:13.061562Z"
65,"1","2026-05-27T10:35:22.576429Z",56,"/data/upload/2/0e61317f-1503_1.jpg","[{""x"":22.17777777777778,""y"":15.079365079365079,""width"":44.197142857142865,""height"":74.28571428571429,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":500,""original_height"":499}]",4.697,"2026-05-27T10:35:22.576429Z"
66,"1","2026-05-27T10:35:28.314012Z",57,"/data/upload/2/fe770748-13593157_1500n.jpg","[{""x"":40.581542351453855,""y"":15.740319703382418,""width"":53.476611883691525,""height"":80.95021561739529,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":1500,""original_height"":1012}]",4.637,"2026-05-27T10:35:28.314012Z"
67,"1","2026-05-27T10:35:33.782073Z",58,"/data/upload/2/8407ec0b-images_1.jpg","[{""x"":30.59610705596107,""y"":13.802800047864066,""width"":45.62043795620437,""height"":80.98666453937484,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":275,""original_height"":183}]",4.272,"2026-05-27T10:35:33.782073Z"
68,"1","2026-05-27T10:35:42.998753Z",59,"/data/upload/2/8a422b1d-images_2.jpg","[{""x"":13.807785888077861,""y"":22.30823738931949,""width"":61.192214111922155,""height"":70.8129530689543,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":259,""original_height"":194}]",7.357,"2026-05-27T10:35:42.998753Z"
69,"1","2026-05-27T10:35:50.312903Z",60,"/data/upload/2/726d215c-images_3.jpg","[{""x"":2.980535279805353,""y"":9.780888942071183,""width"":96.10705596107054,""height"":87.05609346839415,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":275,""original_height"":183}]",6.103,"2026-05-27T10:35:50.312903Z"
70,"1","2026-05-27T10:35:58.629264Z",61,"/data/upload/2/8c1e0051-images_4.jpg","[{""x"":21.472019464720198,""y"":16.298881280256854,""width"":42.82238442822385,""height"":76.17264905811827,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":259,""original_height"":194}]",5.994,"2026-05-27T10:35:58.629264Z"
71,"1","2026-05-27T10:36:05.361945Z",62,"/data/upload/2/b36847e1-images_5.jpg","[{""x"":2.25060827250609,""y"":10.563665855636664,""width"":74.330900243309,""height"":81.50851581508516,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":290,""original_height"":174}]",5.555,"2026-05-27T10:36:05.361945Z"
72,"1","2026-05-27T10:36:12.924200Z",63,"/data/upload/2/ba78a6ba-images_6.jpg","[{""x"":8.69829683698297,""y"":11.893175761788891,""width"":41.240875912408754,""height"":78.59532499131039,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":299,""original_height"":168}]",5.018,"2026-05-27T10:36:12.924200Z"
73,"1","2026-05-27T10:36:22.865551Z",64,"/data/upload/2/00f0c67b-images_7.jpg","[{""x"":9.0632603406326,""y"":19.069997122151587,""width"":54.74452554744524,""height"":57.07427465138788,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":271,""original_height"":186}]",8.656,"2026-05-27T10:36:22.865551Z"
74,"1","2026-05-27T10:36:28.629695Z",65,"/data/upload/2/9e8ca39f-images_8.jpg","[{""x"":51.42984126984127,""y"":12.063492063492063,""width"":39.63047619047618,""height"":76.82539682539682,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":250,""original_height"":202}]",4.201,"2026-05-27T10:36:28.629695Z"
75,"1","2026-05-27T10:36:39.506756Z",66,"/data/upload/2/1ad7b799-images_9.jpg","[{""x"":18.309002433090026,""y"":26.698177176817833,""width"":40.5109489051095,""height"":71.00634198875196,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":276,""original_height"":183},{""x"":49.93917274939174,""y"":4.49722787284113,""width"":26.64233576642335,""height"":77.97854094371985,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":276,""original_height"":183}]",8.564,"2026-05-27T10:36:39.506756Z"
76,"1","2026-05-27T10:36:45.500164Z",67,"/data/upload/2/8632fc74-images_10.jpg","[{""x"":15.05668934240363,""y"":13.015873015873018,""width"":81.45124716553288,""height"":84.60317460317461,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":210,""original_height"":240}]",4.763,"2026-05-27T10:36:45.500164Z"
77,"1","2026-05-27T10:36:51.151924Z",68,"/data/upload/2/5589de88-images_11.jpg","[{""x"":26.216545012165447,""y"":12.523101059657241,""width"":29.56204379562044,""height"":77.51319585709918,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":275,""original_height"":183}]",3.632,"2026-05-27T10:36:51.151924Z"
78,"1","2026-05-27T10:36:57.937116Z",69,"/data/upload/2/1297536d-images_12.jpg","[{""x"":37.65206812652069,""y"":8.750344896781796,""width"":43.43065693430654,""height"":82.98843655153385,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":260,""original_height"":194}]",5.624,"2026-05-27T10:36:57.937116Z"
79,"1","2026-05-27T10:37:02.857889Z",70,"/data/upload/2/7af114bf-images.jpg","[{""x"":42.76155717761558,""y"":8.340544811498228,""width"":36.861313868613145,""height"":79.2585346276369,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":259,""original_height"":194}]",3.703,"2026-05-27T10:37:02.857889Z"
80,"1","2026-05-27T10:37:10.890755Z",71,"/data/upload/2/70a8002b-solovei2.jpg","[{""x"":38.97435897435898,""y"":11.965811965811966,""width"":49.87179487179486,""height"":85.12820512820512,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":1200,""original_height"":900}]",3.676,"2026-05-27T10:37:10.890755Z"
81,"1","2026-05-27T10:37:17.675957Z",72,"/data/upload/2/629d494e-solovey.jpg","[{""x"":16.36253041362531,""y"":2.2730445534681407,""width"":50.72992700729925,""height"":94.93039767061543,""rotation"":0,""rectanglelabels"":[""соловей""],""original_width"":700,""original_height"":488}]",5.589,"2026-05-27T10:37:17.675957Z"
82,"1","2026-05-27T10:37:27.067937Z",73,"/data/upload/2/c6e3b77c-45cf9efc5cba48e591a798be3ecc6a1b.max-1200x800.jpg","[{""x"":41.61449044384574,""y"":11.472602739726028,""width"":45.53561264372178,""height"":88.39041043634285,""rotation"":0,""rectanglelabels"":[""кукушка""],""original_width"":1083,""original_height"":800}]",8.208,"2026-05-27T10:37:27.067937Z"
83,"1","2026-05-27T10:37:36.320531Z",74,"/data/upload/2/d941a1f7-49b568abcd8df89f421965a755c7fd9f.jpg","[{""x"":7.2106261859582546,""y"":16.888045540796963,""width"":73.4977862112587,""height"":59.96204933586339,""rotation"":0,""rectanglelabels"":[""кукушка""],""original_width"":900,""original_height"":600}]",8.096,"2026-05-27T10:37:36.320531Z"
84,"1","2026-05-27T10:37:43.161603Z",75,"/data/upload/2/3e452683-360_F_924010188_lUFqchxDjO1Wie9luu4WKXhk6YSkP3Ne.jpg","[{""x"":3.5888077858880707,""y"":2.9257907542579042,""width"":90.63260340632604,""height"":93.50060827250608,""rotation"":0,""rectanglelabels"":[""кукушка""],""original_width"":639,""original_height"":360}]",5.553,"2026-05-27T10:37:43.161603Z"
85,"1","2026-05-27T10:37:51.937449Z",76,"/data/upload/2/a6b742eb-3918e6ad6444ca2aa1c30844c40cc2de.jpg","[{""x"":2.737226277372263,""y"":3.1930728495777876,""width"":97.26277372262774,""height"":95.84886161353228,""rotation"":0,""rectanglelabels"":[""кукушка""],""original_width"":640,""original_height"":425}]",6.866,"2026-05-27T10:37:51.937449Z"
86,"1","2026-05-27T10:37:57.126972Z",77,"/data/upload/2/dfc0fe44-i_1.jpg","[{""x"":18.91727493917276,""y"":7.284671532846726,""width"":79.68369829683701,""height"":86.02238386390854,""rotation"":0,""rectanglelabels"":[""кукушка""],""original_width"":760,""original_height"":500}]",3.973,"2026-05-27T10:37:57.126972Z"
87,"1","2026-05-27T10:38:04.804194Z",78,"/data/upload/2/e8bbe8b6-i.jpg","[{""x"":22.393506758926748,""y"":4.081632653061225,""width"":68.19265617548879,""height"":82.31292517006803,""rotation"":0,""rectanglelabels"":[""кукушка""],""original_width"":932,""original_height"":520}]",6.539,"2026-05-27T10:38:04.804194Z"
88,"1","2026-05-27T10:38:12.361327Z",79,"/data/upload/2/7905f043-istockphoto-1347840033-170667a.jpg","[{""x"":26.094890510948904,""y"":6.411896323765258,""width"":53.52798053527981,""height"":90.85361560306991,""rotation"":0,""rectanglelabels"":[""кукушка""],""original_width"":553,""original_height"":311}]",5.461,"2026-05-27T10:38:12.361327Z"
89,"1","2026-05-27T10:38:17.919091Z",80,"/data/upload/2/a59d00f2-maxresdefault.jpg","[{""x"":43.994943109987354,""y"":6.742520016856302,""width"":51.327433628318595,""height"":80.01123753336144,""rotation"":0,""rectanglelabels"":[""кукушка""],""original_width"":1280,""original_height"":720}]",4.165,"2026-05-27T10:38:17.919091Z"
90,"1","2026-05-27T10:38:24.959081Z",81,"/data/upload/2/44a8a00f-php43Bpi7_Zachem-kukushka-podbrasyvaet-yajca-v-chuzhie-gnezda_html_b76_3df0dhS.jpg","[{""x"":8.091024020227561,""y"":8.16220604973103,""width"":56.00505689001264,""height"":77.2562293544309,""rotation"":0,""rectanglelabels"":[""кукушка""],""original_width"":1024,""original_height"":682}]",5.724,"2026-05-27T10:38:24.959081Z"
